Term_name,Term_def
도시지역,인구와 산업이 밀집되어 있거나 밀집이 예상되는 지역
등기부등본,부동산에 관한 권리 관계를 적어 두는 등기부를 복사한 증명 문서
마통,마이너스통장의 줄임말로 담보 없이 일으키는 신용대출의 일종.
무주택기간,주택을 소유하지 않은 기간을 뜻함.(만 30세 이상 혹은 혼인신고일부터 계산한다.)
매도,집을 파는 것
매도자,집을 파는 사람
매수,집을 사는 것
매수자,집을 사는 사람
매물,부동산의 물건을 일컫는 말
매매가격,"지역별 및 규모별 평균, 중위 단위당 매매가격"
매매가격 대비 전세가격 비율,지역별 및 규모별 매매가격 대비 전세가격의 비율
매매가격지수,기준시점 대비 현재시점의 매매가격비를 기준시점이 100인 수치로 환산한 값
비과세,세금이 없는 것.
비조정대상지역,조정대상지역과 반대의 의미로 규제가 들어가지 않는 지역
빚투,빚내서 투자한 것
분양,아파트를 여러 사람들에게 나누어 파는 것.
분수효과,낙수효과의 반대의미이며 서민의 소득 증대가 부자의 소득을 올리는 것
시드,내가 현재 갖고 있는 현금성 돈
신용대출,신용에 따라 대출을 받는 것
인플레이션,물가 상승을 의미.
일반가구,"가족으로 이루어진 가구, 가족과 5인 이하의 남남이 함께 사는 가구, 1인 가구, 가족이 아닌 남남끼리 사는 5인 이하의 가구"
임차인,집을 빌려 사는 사람
임대인,집을 빌려주는 집 주인
양도세,집을 팔았을 때 내는 세금
외국인가구,외국인으로만 구성된 가구(한국인과 외국인이 함께 사는 가구는 일반가구로 분류)
영끌,"영혼까지 끌어모은다의 줄임말로, 내가 가능한 대출 상품을 활용하기도 하고, 주변 가족들의 도움을 얻기도 해서 내가 마련할 수 있는 최대의 금액을 마련하는 것"
월세,매달 돈을 내며 집을 빌려서 사용하는 것. 보통 보증금도 함께 있다.
장기보유특별공제,집을 오래가지고 있을 경우 공제되는 세금
전세,돈을 맡기고 몇년간 사는 것.
전매,"아파트가 다 지어지기 전에 파는 것, 집이 없지만 권리를 넘기는 행위"
주담대,주택담보대출의 줄임말. 보통 주담대는 은행에서 집을 담보로 대출해주는 것을 말함
주택매매가격지수,기준시점 대비 현재 가격변동률
주거전용면적,주거용으로만 쓰이는 건축물의 면적
중도상환수수료,정해진 날이 아닌 대출 중간에 미리 돈을 갚으면 내야하는 수수료
조정대상지역,해당 지역이 너무 비싸서 규제를 들어가는 것
재개발,동네 자체를 다 허물고 땅 까지 파내어 새로 재개발하는 것.
재건축,집만 다시 만들기 위해 집만 허물고 재건축하는 것.
청약저축,무주택 세대주가 국민주택을 분양받기 위하여 가입하는 입주자저축
채권최고액,은행에 빌린돈(원금과 이자를 모든 합친 금액)
취득세,집을 샀을 때 내는 세금
청약통장,분양 받을때 필요한 통장
추첨제,추첨을 통해 아파트를 분양하는 것.
"총부채상환비율, DTI[Debt to Income]",총소득에서 부채의 연간 원리금 상환액이 차지하는 비율 연간 소득이 5000만 원이고 DTI를 40%로 설정할 경우에 총부채의 연간 원리금 상환액이 2000만 원을 초과하지 않도록 대출규모를 제한하는 것
"총부채원리금상환비율, DSR[Debt Service Ratio]","DSR은 대출의 원리금뿐만 아니라 신용대출, 자동차 할부, 학자금 대출, 카드론 등 모든 대출의 원금과 이자를 모두 더한 원리금 상환액이다. DSR을 도입하면 연소득은 그대로인 상태에서 금융부채가 커지기 때문에 대출 한도가 대폭 축소된다."
특별공급,"신혼부부, 다자녀 등 특별한 세대에게만 공급하는 방식."
풍선효과,"이쪽을 눌렀더니 다른쪽이 튀어나옴. 즉, 한 곳을 규제하니 다른 한 쪽이 비싸는 현상."
프리미엄,분양가보다 비싸게 파는 것.
표준공시지가,"법의 규정에 따라 국토교통부장관이 조사, 평가하여 공시한 표준지의 단위면적당 적정가격. 공시지가란 국토교통부장관이 전국의 개별 토지(약 2,790만 필지) 중 지가대표성 등이 있는 50만 토지를 선정ㆍ조사하여 공시하는 것으로서 매년 1월 1일 기준 표준지의 단위면적당 가격(원/㎡)을 말함"
호재,"시세 상승의 주요 원인이 되는 항목들 (교통, 인프라, 학교, 재개발, 재건축, 기업 유치, 공공기관 등)"
